"Reference";"Value";"Footprint";"LCSC";"EC"
"C1";"10nF";"Capacitor_SMD:C_0402_1005Metric";"C318577";""
"C2,C3,C5,C6,C8,C9,C10,C11";"100nF";"Capacitor_SMD:C_0402_1005Metric";"C100072";""
"C4";"4.7uF";"Capacitor_SMD:C_0402_1005Metric";"C23733";""
"C7,C12";"1uF";"Capacitor_SMD:C_0603_1608Metric";"C1592";""
"D1,D2,D3,D4,D5,D6,D7";"82307050029";"Capacitor_SMD:C_0402_1005Metric";"C6848494";""
"J1";"USB_A";"Connector_USB:USB_A_Molex_48037-2200_Horizontal";"C2765195";""
"J2";"SYNC_CON";"Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";"C160390";""
"L1";"742792651";"Capacitor_SMD:C_0603_1608Metric";"C2914338";""
"L2";"744231091";"AddonFootprints:WE-CNSW_0805";"C2649324";""
"R1";"100k";"Resistor_SMD:R_0402_1005Metric";"C60491";""
"U1";"FT234XD";"Package_DFN_QFN:WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm";"C132158";""
"U2";"TRS3122ERGER";"AddonFootprints:QFN50P400X400X100-25N";"C473384";""
